;Last Updated 230709 IP research scanners, Censys, Shodan
199.45.154.0/24 ;Censys 240416
199.45.155.0/24 ;Censys 240416
206.168.34.0/24 ;Censys 240416
162.142.125.0/24 ;Censys 230709
167.94.138.0/24 ;Censys 230709
167.94.145.0/24 ;Censys 230709
167.94.146.0/24 ;Censys 230709
167.248.133.0/24 ;Censys 230709
192.35.168.0/23 ;Censys 230709
216.117.2.176/28 ;Shodan CYRUSONE--C0000855 230709
71.6.167.128/26 ;Shodan (CariNet, Inc.) 230709
66.240.192.128/26 ;Shodan (CariNet, Inc.) 230709
66.240.236.0/25 ;Shodan (CariNet, Inc.) 230709
71.6.165.192/26 ;Shodan (CariNet, Inc.) 230709
198.20.69.74 ;Shodan singlehop census1.shodan.io 230709
198.20.99.130 ;Shodan singlehop census4.shodan.io 230709
198.20.69.98 ;Shodan singlehop census2.shodan.io 230709
198.20.70.114 ;Shodan singlehop census3.shodan.io 230709
93.120.27.0/24 ;Shodan GVM Romania census5.shodan.io 230709
137.226.113.0/26 ;researchscan.comsys.rwth-aachen.de 231019
87.236.176.0/24 ;internet-measurement.com 231019
193.163.125.0/24 ;internet-measurement.com 231019
68.183.53.77/32 ;internet-measurement.com 231019
104.248.203.191/32 ;internet-measurement.com 231019
104.248.204.195/32 ;internet-measurement.com 231019
142.93.191.98/32 ;internet-measurement.com 231019
157.245.216.203/32 ;internet-measurement.com 231019
165.22.39.64/32 ;internet-measurement.com 231019
167.99.209.184/32 ;internet-measurement.com 231019
188.166.26.88/32 ;internet-measurement.com 231019
206.189.7.178/32 ;internet-measurement.com 231019
209.97.152.248/32 ;internet-measurement.com 231019
